channel,mean_coherence_all_freqs,std_coherence_all_freqs,max_coherence,freq_at_max_coherence,band_mean_coherence,band_std_coherence,band_valid_bins,band_total_bins,band_nan_fraction,time_domain_corr,std,rms
H1_IMC_WFS_B_Q_YAW_OUT_DQ,0.031196402771091095,0.07399227677733498,0.9442850158816111,60.0,0.295146313859389,0.2102655289829792,41,41,0.0,-7.241306566427175e-07,824.8569447767536,839.4812487123858
H1_IMC_WFS_A_DC_YAW_OUT_DQ,0.032004732657403154,0.07411965570902698,0.9587676612773384,60.0,0.2950847365056213,0.21019343219222014,41,41,0.0,9.306120658771063e-08,0.044688346714960595,0.045109125189440026
H1_PEM_CS_ACC_PSL_PERISCOPE_X_DQ,0.031174535422207203,0.06268376640985403,0.7506409319311126,177.0,0.294700001955633,0.21198584827565267,41,41,0.0,-4.02576235641546e-05,166.75783467869294,166.8015691808616
H1_IMC_WFS_B_DC_YAW_OUT_DQ,0.021801781576394928,0.07168800577139484,0.9318056051055318,60.0,0.29287099662661736,0.21017334499793894,41,41,0.0,-2.6307601077857437e-05,0.021500139824174105,0.1337859351629434
H1_IMC_DOF_4_Y_IN1_DQ,0.0218017853303094,0.07168801099388862,0.9318056395978207,60.0,0.2928709858785813,0.21017336044613563,41,41,0.0,-2.6307632525274725e-05,0.0008600055930313859,0.005351437406517158
H1_PEM_CS_ACC_PSL_TABLE1_X_DQ,0.025139388226039124,0.05999376798083841,0.7270330089014725,121.5,0.29282403978617394,0.21113711181288494,41,41,0.0,-4.714272804362318e-05,46.2546790097178,46.29707456361188
H1_IMC_DOF_1_Y_IN1_DQ,0.018834409760613593,0.07103922559233286,0.9342052824544776,60.0,0.29235614921747954,0.210781657881665,41,41,0.0,-3.4044351584917045e-05,0.5236870777488987,0.5250758701042794
H1_IMC_WFS_B_I_YAW_OUT_DQ,0.018758724722185698,0.07101887010626548,0.9343322727687878,60.0,0.29232758092485445,0.21081490077203283,41,41,0.0,3.4661418914844205e-05,195.38281769596676,195.874952706603
H1_IMC_WFS_B_Q_PIT_OUT_DQ,0.023811235606420716,0.06813137853110174,0.773579873499658,60.0,0.2902061244586255,0.21037113482398653,41,41,0.0,-9.751174689267893e-05,899.5077424271302,1420.843172476075
H1_LSC_REFL_SERVO_CTRL_OUT_DQ,0.016626008277211148,0.07122460163918012,0.9892836203576174,60.0,0.28668623793271353,0.21115765878184586,41,41,0.0,0.000262141821830747,1.1687364957789992,4.888520378650061
