run,json_file,coherence_bin,added_k,avg_added_coherence,best_val_loss,final_val_loss,best_epoch,final_train_loss,delta_vs_baseline
high_added_15seed0,runs_coherence_sweep/high_added_15seed0/dcrun_add20.json,high,15,0.1762908670232631,0.7187775373458862,0.7194139361381531,12,0.7215403914451599,0.0003254413604736328
low_added_15seed0,runs_coherence_sweep/low_added_15seed0/dcrun_add20.json,low,15,0.001048123567086119,0.7183308005332947,0.7190238833427429,13,0.7212080359458923,-0.00012129545211791992
medium_added_15seed0,runs_coherence_sweep/medium_added_15seed0/dcrun_add20.json,medium,15,0.019380564467744537,0.7189080119132996,0.719758152961731,11,0.7210112810134888,0.0004559159278869629
very_low_added_15seed0,runs_coherence_sweep/very_low_added_15seed0/dcrun_add20.json,very_low,15,0.0003607969715426044,0.719307541847229,0.7194567918777466,15,0.7224843502044678,0.0008554458618164062
high_added_20seed0,runs_coherence_sweep/high_added_20seed0/dcrun_add20.json,high,20,0.16562093406664624,0.7188234925270081,0.7191647887229919,12,0.7216168642044067,0.000371396541595459
low_added_20seed0,runs_coherence_sweep/low_added_20seed0/dcrun_add20.json,low,20,0.0014958822092101288,0.7189878821372986,0.7204874753952026,11,0.7216349244117737,0.0005357861518859863
medium_added20_seed0,runs_coherence_sweep/medium_added20_seed0/dcrun_add20.json,medium,20,0.011085376671824645,0.7186177372932434,0.7187879085540771,15,0.7211331725120544,0.00016564130783081055
very_low_added20_seed0,runs_coherence_sweep/very_low_added20_seed0/dcrun_add20.json,very_low,20,0.0003433038291560973,0.7189489603042603,0.7206317782402039,11,0.7221387028694153,0.0004968643188476562
high_added_50seed0,runs_coherence_sweep/high_added_50seed0/dcrun_add20.json,high,50,0.18471591114968525,0.7183900475502014,0.7192711234092712,12,0.7205828428268433,-6.204843521118164e-05
low_added_50seed0,runs_coherence_sweep/low_added_50seed0/dcrun_add20.json,low,50,0.0015781166542749366,0.7186859846115112,0.7195675373077393,13,0.7198191285133362,0.0002338886260986328
medium_added_50seed0,runs_coherence_sweep/medium_added_50seed0/dcrun_add20.json,medium,50,0.009178624067175775,0.718563437461853,0.7195547223091125,12,0.7202442288398743,0.00011134147644042969
very_low_added_50seed0,runs_coherence_sweep/very_low_added_50seed0/dcrun_add20.json,very_low,50,0.0003585985773400564,0.7204702496528625,0.7204702496528625,20,0.7216911315917969,0.002018153667449951
high_added_100seed0,runs_coherence_sweep/high_added_100seed0/dcrun_add20.json,high,100,0.17684741665080753,0.7182131409645081,0.7182602882385254,19,0.7203904986381531,-0.00023895502090454102
low_added_100seed0,runs_coherence_sweep/low_added_100seed0/dcrun_add20.json,low,100,0.0015428933433486352,0.7196598052978516,0.7397077679634094,11,0.7176584005355835,0.0012077093124389648
medium_added_100seed0,runs_coherence_sweep/medium_added_100seed0/dcrun_add20.json,medium,100,0.010738397639684136,0.7176805734634399,0.7201155424118042,12,0.716889500617981,-0.0007715225219726562
very_low_added_100seed0,runs_coherence_sweep/very_low_added_100seed0/dcrun_add20.json,very_low,100,0.0003619415083517155,0.717749297618866,0.7178807258605957,13,0.7202258706092834,-0.0007027983665466309
high_added_200seed0,runs_coherence_sweep/high_added_200seed0/dcrun_add20.json,high,200,0.17070744204185104,0.7176882028579712,0.7177644371986389,16,0.7207282781600952,-0.0007638931274414062
low_added_200seed0,runs_coherence_sweep/low_added_200seed0/dcrun_add20.json,low,200,0.0015278099151428844,0.7206869721412659,0.7264081835746765,11,0.7161904573440552,0.0022348761558532715
medium_added_200seed0,runs_coherence_sweep/medium_added_200seed0/dcrun_add20.json,medium,200,0.01019449945833663,0.7190800309181213,0.726024866104126,11,0.7141716480255127,0.0006279349327087402
very_low_added_200seed0,runs_coherence_sweep/very_low_added_200seed0/dcrun_add20.json,very_low,200,0.00036119078329121916,0.7175527215003967,0.7207583785057068,12,0.7183064222335815,-0.0008993744850158691
